reading_device_id,reading_timestamp,bumpiness,image,street_name,lat,long
squid-1,2015-05-16_18.48.24.00,138.1950071,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.30.78.jpg,500-598 Jefferson St,40.7446802375,-74.036495282
squid-1,2015-05-16_18.48.24.80,30.83553145,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.31.57.jpg,500-598 Jefferson St,40.7446251121,-74.0365115413
squid-1,2015-05-16_18.48.25.60,36.01596868,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.32.38.jpg,500-598 Jefferson St,40.7445737964,-74.0365266769
squid-1,2015-05-16_18.48.26.40,28.28762981,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.33.17.jpg,500-598 Jefferson St,40.7445247082,-74.0365411556
squid-1,2015-05-16_18.48.27.20,31.56121037,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.33.97.jpg,500-598 Jefferson St,40.7444768948,-74.0365552581
squid-1,2015-05-16_18.48.28.00,26.43236652,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.34.77.jpg,500-598 Jefferson St,40.7444301952,-74.0365690322
squid-1,2015-05-16_18.48.28.80,39.48809947,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.35.58.jpg,500-598 Jefferson St,40.7443846092,-74.0365824777
squid-1,2015-05-16_18.48.30.00,46.15473973,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.36.78.jpg,500-598 Jefferson St,40.744317732,-74.0366022031
squid-1,2015-05-16_18.48.30.80,72.30726105,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.37.58.jpg,500-598 Jefferson St,40.7442756333,-74.03661462
squid-1,2015-05-16_18.48.31.60,45.692669,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.38.38.jpg,500-598 Jefferson St,40.7442322596,-74.036627413
squid-1,2015-05-16_18.48.32.40,93.74187965,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.39.18.jpg,500-598 Jefferson St,40.7441909672,-74.0366395921
squid-1,2015-05-16_18.48.33.20,25.47371194,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.39.98.jpg,500-598 Jefferson St,40.7441480773,-74.0366522424
squid-1,2015-05-16_18.48.34.00,38.97922524,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.40.77.jpg,500-598 Jefferson St,40.7441061398,-74.0366646117
squid-1,2015-05-16_18.48.34.80,30.38190251,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.41.58.jpg,500-598 Jefferson St,40.7440656235,-74.0366765619
squid-1,2015-05-16_18.48.35.60,44.10918272,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.42.38.jpg,500-598 Jefferson St,40.7440254296,-74.0366884169
squid-1,2015-05-16_18.48.36.40,30.44766001,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.43.17.jpg,500-598 Jefferson St,40.7439844446,-74.0367005053
